mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
1,927,26,accuracy,binary,0.9532126112605661,3,0.0010382086946010697,Preprocessor1_Model01
1,927,26,f_meas,binary,0.9760453526421446,3,5.444850865470204e-4,Preprocessor1_Model01
3,858,22,accuracy,binary,0.9532126112605661,3,0.0010382086946010697,Preprocessor1_Model02
3,858,22,f_meas,binary,0.9760453526421446,3,5.444850865470204e-4,Preprocessor1_Model02
3,841,37,accuracy,binary,0.9532126112605661,3,0.0010382086946010697,Preprocessor1_Model03
3,841,37,f_meas,binary,0.9760453526421446,3,5.444850865470204e-4,Preprocessor1_Model03
2,932,17,accuracy,binary,0.9532126112605661,3,0.0010382086946010697,Preprocessor1_Model04
2,932,17,f_meas,binary,0.9760453526421446,3,5.444850865470204e-4,Preprocessor1_Model04
1,647,29,accuracy,binary,0.9532126112605661,3,0.0010382086946010697,Preprocessor1_Model05
1,647,29,f_meas,binary,0.9760453526421446,3,5.444850865470204e-4,Preprocessor1_Model05
2,560,2,accuracy,binary,0.9531286482043109,3,0.0010074501281331716,Preprocessor1_Model06
2,560,2,f_meas,binary,0.9760008570811094,3,5.282496658129751e-4,Preprocessor1_Model06
3,981,22,accuracy,binary,0.9532126112605661,3,0.0010382086946010697,Preprocessor1_Model07
3,981,22,f_meas,binary,0.9760453526421446,3,5.444850865470204e-4,Preprocessor1_Model07
4,1439,26,accuracy,binary,0.9532126112605661,3,0.0010382086946010697,Preprocessor1_Model08
4,1439,26,f_meas,binary,0.9760453526421446,3,5.444850865470204e-4,Preprocessor1_Model08
2,134,27,accuracy,binary,0.9532126112605661,3,0.0010382086946010697,Preprocessor1_Model09
2,134,27,f_meas,binary,0.9760453526421446,3,5.444850865470204e-4,Preprocessor1_Model09
6,1327,22,accuracy,binary,0.9532126112605661,3,0.0010382086946010697,Preprocessor1_Model10
6,1327,22,f_meas,binary,0.9760453526421446,3,5.444850865470204e-4,Preprocessor1_Model10
