min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
32,15,0.006163356832214054,3.896042917786573e-4,accuracy,binary,0.9532125737694619,5,0.0013185380871429534,Preprocessor1_Model01
32,15,0.006163356832214054,3.896042917786573e-4,kap,binary,0,5,0,Preprocessor1_Model01
32,15,0.006163356832214054,3.896042917786573e-4,roc_auc,binary,0.6634447484529267,5,0.004633800948792696,Preprocessor1_Model01
32,15,0.006163356832214054,3.896042917786573e-4,sens,binary,1,5,0,Preprocessor1_Model01
27,12,0.00744261189541797,2.1019648443215444e-5,accuracy,binary,0.9532125737694619,5,0.0013185380871429534,Preprocessor1_Model02
27,12,0.00744261189541797,2.1019648443215444e-5,kap,binary,0,5,0,Preprocessor1_Model02
27,12,0.00744261189541797,2.1019648443215444e-5,roc_auc,binary,0.6634018951805275,5,0.0052549002916842365,Preprocessor1_Model02
27,12,0.00744261189541797,2.1019648443215444e-5,sens,binary,1,5,0,Preprocessor1_Model02
5,5,0.03148708662199638,0.7734084568003949,accuracy,binary,0.9531915830053981,5,0.0013304348219221039,Preprocessor1_Model03
5,5,0.03148708662199638,0.7734084568003949,kap,binary,-4.1901922979992176e-5,5,4.1901922979992176e-5,Preprocessor1_Model03
5,5,0.03148708662199638,0.7734084568003949,roc_auc,binary,0.666620956226983,5,0.006370498461470551,Preprocessor1_Model03
5,5,0.03148708662199638,0.7734084568003949,sens,binary,0.9999779103158825,5,2.20896841175211e-5,Preprocessor1_Model03
13,3,9.25295679184529e-9,7.1467712732939e-5,accuracy,binary,0.9532125737694619,5,0.0013185380871429534,Preprocessor1_Model04
13,3,9.25295679184529e-9,7.1467712732939e-5,kap,binary,0,5,0,Preprocessor1_Model04
13,3,9.25295679184529e-9,7.1467712732939e-5,roc_auc,binary,0.5183867240747645,5,0.018020361278874228,Preprocessor1_Model04
13,3,9.25295679184529e-9,7.1467712732939e-5,sens,binary,1,5,0,Preprocessor1_Model04
21,9,0.0016002562625314742,0.10017533946158982,accuracy,binary,0.9532125737694619,5,0.0013185380871429534,Preprocessor1_Model05
21,9,0.0016002562625314742,0.10017533946158982,kap,binary,0,5,0,Preprocessor1_Model05
21,9,0.0016002562625314742,0.10017533946158982,roc_auc,binary,0.6366076644180337,5,0.0028614997114826007,Preprocessor1_Model05
21,9,0.0016002562625314742,0.10017533946158982,sens,binary,1,5,0,Preprocessor1_Model05
16,13,0.002839658205772143,1.458611849480208e-5,accuracy,binary,0.9532125737694619,5,0.0013185380871429534,Preprocessor1_Model06
16,13,0.002839658205772143,1.458611849480208e-5,kap,binary,0,5,0,Preprocessor1_Model06
