mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
7,1765,28,accuracy,binary,0.8217593818242593,3,0.00179714410603768,Preprocessor1_Model01
7,1765,28,f_meas,binary,0.8936511405737673,3,0.0012854666125705176,Preprocessor1_Model01
7,587,26,accuracy,binary,0.822890245382889,3,0.0022273172935217264,Preprocessor1_Model02
7,587,26,f_meas,binary,0.894494425070861,3,0.0015717813606303105,Preprocessor1_Model02
12,1384,10,accuracy,binary,0.8241345252636776,3,0.001323154818193882,Preprocessor1_Model03
12,1384,10,f_meas,binary,0.8948868421907353,3,0.0012131132099110005,Preprocessor1_Model03
5,757,5,accuracy,binary,0.8239083065101429,3,0.0013907861749149258,Preprocessor1_Model04
5,757,5,f_meas,binary,0.8946938436230922,3,0.0012696996553940249,Preprocessor1_Model04
1,930,8,accuracy,binary,0.8248131047879337,3,0.0013937182948039412,Preprocessor1_Model05
1,930,8,f_meas,binary,0.8953792530358755,3,0.001178228682598195,Preprocessor1_Model05
5,1192,4,accuracy,binary,0.824247596272271,3,0.0014315460544850227,Preprocessor1_Model06
5,1192,4,f_meas,binary,0.8946967121656044,3,0.0010654025299973112,Preprocessor1_Model06
6,1428,24,accuracy,binary,0.8236820493884343,3,0.001662541971778861,Preprocessor1_Model07
6,1428,24,f_meas,binary,0.8950278966351295,3,0.0013522565467025027,Preprocessor1_Model07
13,903,3,accuracy,binary,0.8235689016434931,3,0.0021719579682982315,Preprocessor1_Model08
13,903,3,f_meas,binary,0.8943682828392584,3,0.0016736442500444502,Preprocessor1_Model08
8,1338,20,accuracy,binary,0.8234557155303779,3,0.0023561223949887366,Preprocessor1_Model09
8,1338,20,f_meas,binary,0.8946110936014136,3,0.0016439981334087775,Preprocessor1_Model09
9,648,8,accuracy,binary,0.8237953122378974,3,0.0010041927151276718,Preprocessor1_Model10
9,648,8,f_meas,binary,0.894455339882369,3,8.112170203425991e-4,Preprocessor1_Model10
12,247,37,accuracy,binary,0.8193843918575368,3,0.0021100247564952565,Preprocessor1_Model11
12,247,37,f_meas,binary,0.8929792527112167,3,0.0013319627801189836,Preprocessor1_Model11
10,1560,33,accuracy,binary,0.820288959926284,3,0.002692661510038956,Preprocessor1_Model12
10,1560,33,f_meas,binary,0.8933583843815948,3,0.0016891357914657014,Preprocessor1_Model12
14,1075,11,accuracy,binary,0.8242475195359231,3,0.0017272779596003737,Preprocessor1_Model13
14,1075,11,f_meas,binary,0.8948895124691427,3,0.0014241892303073938,Preprocessor1_Model13
6,116,10,accuracy,binary,0.8240210705733448,3,0.0028738313597303426,Preprocessor1_Model14
6,116,10,f_meas,binary,0.8944658652500866,3,0.002063192112410468,Preprocessor1_Model14
6,100,25,accuracy,binary,0.8225513009343265,3,8.00951871313524e-4,Preprocessor1_Model15
6,100,25,f_meas,binary,0.8943199103995387,3,5.952332594687143e-4,Preprocessor1_Model15
8,797,36,accuracy,binary,0.8214201687984791,3,0.0014370842710447885,Preprocessor1_Model16
8,797,36,f_meas,binary,0.8940108750351161,3,0.0011951031153555269,Preprocessor1_Model16
7,1579,19,accuracy,binary,0.8240213775187363,3,0.0015028141602211975,Preprocessor1_Model17
7,1579,19,f_meas,binary,0.8949541077674524,3,0.0012898438398790775,Preprocessor1_Model17
5,1219,13,accuracy,binary,0.8233427212581323,3,0.0020750743205532637,Preprocessor1_Model18
5,1219,13,f_meas,binary,0.8944730929132527,3,0.0016918384550521505,Preprocessor1_Model18
1,375,32,accuracy,binary,0.8199503607912868,3,0.0012956895799640631,Preprocessor1_Model19
1,375,32,f_meas,binary,0.8946647372266562,3,8.606388609933739e-4,Preprocessor1_Model19
2,367,33,accuracy,binary,0.8196108408201151,3,4.727342710821869e-4,Preprocessor1_Model20
2,367,33,f_meas,binary,0.8937402027171182,3,6.25760066556039e-4,Preprocessor1_Model20
11,593,25,accuracy,binary,0.8224379229803416,3,0.002094617037590753,Preprocessor1_Model21
11,593,25,f_meas,binary,0.8938971071514553,3,0.001488992773948095,Preprocessor1_Model21
9,310,27,accuracy,binary,0.8223246984990523,3,0.0025079356894154676,Preprocessor1_Model22
9,310,27,f_meas,binary,0.8941171441787833,3,0.0018357158083514334,Preprocessor1_Model22
2,1183,9,accuracy,binary,0.8241345636318516,3,0.001098559517998867,Preprocessor1_Model23
2,1183,9,f_meas,binary,0.8946802384823471,3,8.380763755945324e-4,Preprocessor1_Model23
12,38,23,accuracy,binary,0.8234557538985517,3,0.002132360885032589,Preprocessor1_Model24
12,38,23,f_meas,binary,0.8946922180210971,3,0.0016508508427979104,Preprocessor1_Model24
8,1664,14,accuracy,binary,0.8237952355015495,3,0.00127894177915814,Preprocessor1_Model25
8,1664,14,f_meas,binary,0.8947495866187037,3,0.0011404028933664156,Preprocessor1_Model25
14,1900,11,accuracy,binary,0.8239083065101429,3,0.0013907861749149258,Preprocessor1_Model26
14,1900,11,f_meas,binary,0.8947226431638885,3,0.001259541065497923,Preprocessor1_Model26
6,691,38,accuracy,binary,0.8197240269332303,3,4.957826182779207e-4,Preprocessor1_Model27
6,691,38,f_meas,binary,0.8935337533067255,3,4.0218706847362003e-4,Preprocessor1_Model27
7,918,27,accuracy,binary,0.8220984030091698,3,0.0029667720379627028,Preprocessor1_Model28
7,918,27,f_meas,binary,0.8939842335513113,3,0.002023208362112016,Preprocessor1_Model28
2,1904,34,accuracy,binary,0.8194975012343041,3,0.0018853046384093354,Preprocessor1_Model29
2,1904,34,f_meas,binary,0.8937332002351009,3,0.0014176348836140527,Preprocessor1_Model29
11,829,2,accuracy,binary,0.8241343717909818,3,0.001952167351334986,Preprocessor1_Model30
11,829,2,f_meas,binary,0.8947569269118949,3,0.0015555842001653926,Preprocessor1_Model30
15,1311,28,accuracy,binary,0.8209677696595837,3,0.0018981099318860326,Preprocessor1_Model31
15,1311,28,f_meas,binary,0.8932512278668256,3,9.963984138666874e-4,Preprocessor1_Model31
10,1500,11,accuracy,binary,0.8241345252636776,3,0.001323154818193882,Preprocessor1_Model32
10,1500,11,f_meas,binary,0.8948868421907353,3,0.0012131132099110005,Preprocessor1_Model32
12,722,16,accuracy,binary,0.8233426445217844,3,0.0023058168681188663,Preprocessor1_Model33
12,722,16,f_meas,binary,0.8943862982060803,3,0.0018282361429204665,Preprocessor1_Model33
15,1574,7,accuracy,binary,0.8239083065101429,3,0.0013907861749149258,Preprocessor1_Model34
15,1574,7,f_meas,binary,0.8947226431638885,3,0.001259541065497923,Preprocessor1_Model34
13,1720,20,accuracy,binary,0.8234557538985517,3,0.002288629376745504,Preprocessor1_Model35
13,1720,20,f_meas,binary,0.8945061362093927,3,0.001765641659646252,Preprocessor1_Model35
14,993,23,accuracy,binary,0.8239080763010993,3,0.002426516594577067,Preprocessor1_Model36
14,993,23,f_meas,binary,0.8949381250593226,3,0.0016752953543211506,Preprocessor1_Model36
1,615,6,accuracy,binary,0.8244737766576318,3,0.001436739760796851,Preprocessor1_Model37
1,615,6,f_meas,binary,0.8950693654246196,3,0.0012271849379532106,Preprocessor1_Model37
13,1420,13,accuracy,binary,0.8244737382894578,3,0.0016502137105301557,Preprocessor1_Model38
13,1420,13,f_meas,binary,0.8950399731653221,3,0.0013601058769709647,Preprocessor1_Model38
10,847,33,accuracy,binary,0.8218724912010267,3,0.0017275448039342574,Preprocessor1_Model39
10,847,33,f_meas,binary,0.8940501761198473,3,0.0013922214950553285,Preprocessor1_Model39
