mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
15,1597,4,accuracy,binary,0.8223893498821165,3,9.439293283801392e-4,Preprocessor1_Model01
15,1597,4,f_meas,binary,0.8937750634764262,3,6.329922551098609e-4,Preprocessor1_Model01
13,1199,20,accuracy,binary,0.8225598582496398,3,8.256686024332524e-4,Preprocessor1_Model02
13,1199,20,f_meas,binary,0.8940089908159047,3,5.8486078032269e-4,Preprocessor1_Model02
13,593,24,accuracy,binary,0.8222567394113169,3,0.0010199705389788562,Preprocessor1_Model03
13,593,24,f_meas,binary,0.8939244453288346,3,7.435392874061087e-4,Preprocessor1_Model03
8,1127,19,accuracy,binary,0.8223419871346134,3,9.8827155241354e-4,Preprocessor1_Model04
8,1127,19,f_meas,binary,0.8939167976651442,3,6.633361456207775e-4,Preprocessor1_Model04
13,838,40,accuracy,binary,0.8214515640898087,3,7.1648378407588e-4,Preprocessor1_Model05
13,838,40,f_meas,binary,0.8939602422697892,3,4.532698279509192e-4,Preprocessor1_Model05
9,342,32,accuracy,binary,0.8218020545587744,3,6.322007704779936e-4,Preprocessor1_Model06
9,342,32,f_meas,binary,0.8940097832223581,3,4.8806439845187156e-4,Preprocessor1_Model06
3,1295,35,accuracy,binary,0.8211958114984076,3,3.0234337329573113e-4,Preprocessor1_Model07
3,1295,35,f_meas,binary,0.8942813645968344,3,2.1065956744215135e-4,Preprocessor1_Model07
1,1593,23,accuracy,binary,0.821015833973128,3,2.949093850486631e-4,Preprocessor1_Model08
1,1593,23,f_meas,binary,0.8941798772321421,3,2.839236941137272e-4,Preprocessor1_Model08
6,1711,2,accuracy,binary,0.8225788019488737,3,0.0011342001768243465,Preprocessor1_Model09
6,1711,2,f_meas,binary,0.8939695891042072,3,7.614788910431271e-4,Preprocessor1_Model09
6,641,30,accuracy,binary,0.8221620090709616,3,6.7794894241385e-4,Preprocessor1_Model10
6,641,30,f_meas,binary,0.8942206660220511,3,4.6861745218653854e-4,Preprocessor1_Model10
13,1861,8,accuracy,binary,0.8224461852867948,3,0.0011519964303441182,Preprocessor1_Model11
13,1861,8,f_meas,binary,0.8938674853933987,3,7.743353819935724e-4,Preprocessor1_Model11
2,113,39,accuracy,binary,0.8201254060829744,3,6.198840905981671e-4,Preprocessor1_Model12
2,113,39,f_meas,binary,0.8941897025149784,3,4.788125089967947e-4,Preprocessor1_Model12
13,292,11,accuracy,binary,0.8223040978518433,3,0.0010239931235486413,Preprocessor1_Model13
13,292,11,f_meas,binary,0.8937409211992879,3,7.248366164169222e-4,Preprocessor1_Model13
7,1011,11,accuracy,binary,0.8224840764538672,3,0.0010572909836701375,Preprocessor1_Model14
7,1011,11,f_meas,binary,0.893872044604502,3,7.292902145586394e-4,Preprocessor1_Model14
10,759,22,accuracy,binary,0.8220483377232329,3,8.764739169989607e-4,Preprocessor1_Model15
10,759,22,f_meas,binary,0.8937713355316114,3,6.593914390568461e-4,Preprocessor1_Model15
10,332,31,accuracy,binary,0.8215841815594456,3,6.850474910606259e-4,Preprocessor1_Model16
10,332,31,f_meas,binary,0.8938040839156082,3,5.019999629834643e-4,Preprocessor1_Model16
5,1194,6,accuracy,binary,0.8223988214625474,3,0.0011430796530649638,Preprocessor1_Model17
5,1194,6,f_meas,binary,0.8938193705728152,3,7.67718285339967e-4,Preprocessor1_Model17
1,1538,27,accuracy,binary,0.8208074355152766,3,3.4352887924284775e-4,Preprocessor1_Model18
1,1538,27,f_meas,binary,0.8943999980167153,3,2.465816355664487e-4,Preprocessor1_Model18
5,131,35,accuracy,binary,0.8217736306651561,3,7.975236745325829e-4,Preprocessor1_Model19
5,131,35,f_meas,binary,0.8943521760764976,3,5.277166428550701e-4,Preprocessor1_Model19
2,266,37,accuracy,binary,0.8204664217412766,3,3.969334644787809e-4,Preprocessor1_Model20
