mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
2,677,37,accuracy,binary,0.9516732773394033,3,0.0016026374146025936,Preprocessor1_Model01
2,677,37,f_meas,binary,0.9752369314043684,3,8.412954884793189e-4,Preprocessor1_Model01
2,1736,15,accuracy,binary,0.951569125138069,3,0.001578771104161607,Preprocessor1_Model02
2,1736,15,f_meas,binary,0.9751797998668033,3,8.264987128647801e-4,Preprocessor1_Model02
1,189,5,accuracy,binary,0.9502498615106565,3,0.0014957328343034697,Preprocessor1_Model03
1,189,5,f_meas,binary,0.9744764892210604,3,7.856586247034151e-4,Preprocessor1_Model03
4,506,35,accuracy,binary,0.9516732773394033,3,0.0016026374146025936,Preprocessor1_Model04
4,506,35,f_meas,binary,0.9752369314043684,3,8.412954884793189e-4,Preprocessor1_Model04
2,627,8,accuracy,binary,0.9508400452656567,3,0.0016853375287316638,Preprocessor1_Model05
2,627,8,f_meas,binary,0.974793917215552,3,8.823643906796864e-4,Preprocessor1_Model05
4,491,2,accuracy,binary,0.9500068421180554,3,0.0014904582151632824,Preprocessor1_Model06
4,491,2,f_meas,binary,0.974352392261856,3,7.81385724429252e-4,Preprocessor1_Model06
4,1448,39,accuracy,binary,0.9516732773394033,3,0.0016026374146025936,Preprocessor1_Model07
4,1448,39,f_meas,binary,0.9752369314043684,3,8.412954884793189e-4,Preprocessor1_Model07
2,1453,35,accuracy,binary,0.9516732773394033,3,0.0016026374146025936,Preprocessor1_Model08
2,1453,35,f_meas,binary,0.9752369314043684,3,8.412954884793189e-4,Preprocessor1_Model08
4,1329,21,accuracy,binary,0.9516385623494706,3,0.0015710827001176773,Preprocessor1_Model09
4,1329,21,f_meas,binary,0.9752162747723337,3,8.225315007488355e-4,Preprocessor1_Model09
3,1000,20,accuracy,binary,0.951569125138069,3,0.001578771104161607,Preprocessor1_Model10
3,1000,20,f_meas,binary,0.9751797998668033,3,8.264987128647801e-4,Preprocessor1_Model10
