mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
10,1131,35,accuracy,binary,0.9516385587337025,3,0.0016309844928485003,Preprocessor1_Model01
10,1131,35,kap,binary,-3.4399797998715026e-4,3,3.439979799871503e-4,Preprocessor1_Model01
10,1131,35,roc_auc,binary,0.5701236618433235,3,7.929898887906625e-4,Preprocessor1_Model01
10,1131,35,sens,binary,0.9998171712739505,3,1.8282872604942957e-4,Preprocessor1_Model01
10,1802,8,accuracy,binary,0.9507011997689987,3,0.0013331890814950328,Preprocessor1_Model02
10,1802,8,kap,binary,0.008208639282989205,3,0.004687138245393333,Preprocessor1_Model02
10,1802,8,roc_auc,binary,0.567169032789561,3,8.812002485574092e-4,Preprocessor1_Model02
10,1802,8,sens,binary,0.9985420581351612,3,4.559586974415081e-4,Preprocessor1_Model02
9,1198,2,accuracy,binary,0.9501109979351577,3,0.0014233845756540838,Preprocessor1_Model03
9,1198,2,kap,binary,0.00821886036900373,3,0.004467455380306978,Preprocessor1_Model03
9,1198,2,roc_auc,binary,0.5734679278174166,3,0.0010206912722146983,Preprocessor1_Model03
9,1198,2,sens,binary,0.9978851769878101,3,4.1947079103336123e-4,Preprocessor1_Model03
8,1199,39,accuracy,binary,0.9516385587337025,3,0.0016309844928485003,Preprocessor1_Model04
8,1199,39,kap,binary,-3.4399797998715026e-4,3,3.439979799871503e-4,Preprocessor1_Model04
8,1199,39,roc_auc,binary,0.573353873671633,3,0.002673691265977439,Preprocessor1_Model04
8,1199,39,sens,binary,0.9998171712739505,3,1.8282872604942957e-4,Preprocessor1_Model04
10,82,35,accuracy,binary,0.9516385587337025,3,0.0016309844928485003,Preprocessor1_Model05
10,82,35,kap,binary,-3.4399797998715026e-4,3,3.439979799871503e-4,Preprocessor1_Model05
10,82,35,roc_auc,binary,0.5346432385331411,3,0.003955341552997975,Preprocessor1_Model05
10,82,35,sens,binary,0.9998171712739505,3,1.8282872604942957e-4,Preprocessor1_Model05
4,411,21,accuracy,binary,0.9515691215223009,3,0.0016383917460638133,Preprocessor1_Model06
4,411,21,kap,binary,-4.823375774825796e-4,3,2.9980645820224444e-4,Preprocessor1_Model06
4,411,21,roc_auc,binary,0.5659325120162408,3,8.137650684429894e-4,Preprocessor1_Model06
4,411,21,sens,binary,0.9997441839007661,3,1.5940298383724453e-4,Preprocessor1_Model06
6,329,20,accuracy,binary,0.9515344065323682,3,0.001606413991894013,Preprocessor1_Model07
6,329,20,kap,binary,0.0035598053012972177,3,0.0042870129891148115,Preprocessor1_Model07
6,329,20,roc_auc,binary,0.5611011803551785,3,0.002234623856039454,Preprocessor1_Model07
6,329,20,sens,binary,0.9995987187760298,3,9.67320680341224e-5,Preprocessor1_Model07
2,1071,38,accuracy,binary,0.9518121517622065,3,0.0014919448318914642,Preprocessor1_Model08
2,1071,38,kap,binary,0,3,0,Preprocessor1_Model08
2,1071,38,roc_auc,binary,0.5667353835030184,3,0.0013029259633339603,Preprocessor1_Model08
2,1071,38,sens,binary,1,3,0,Preprocessor1_Model08
4,1529,9,accuracy,binary,0.9513608135038643,3,0.0016362367593424714,Preprocessor1_Model09
4,1529,9,kap,binary,0.004487037270811382,3,0.003943685525137242,Preprocessor1_Model09
4,1529,9,roc_auc,binary,0.5735015606416015,3,0.0016897263772191204,Preprocessor1_Model09
4,1529,9,sens,binary,0.9993797566564765,3,1.3183522005616056e-4,Preprocessor1_Model09
7,1703,29,accuracy,binary,0.9516385587337025,3,0.0016309844928485003,Preprocessor1_Model10
7,1703,29,kap,binary,-3.4399797998715026e-4,3,3.439979799871503e-4,Preprocessor1_Model10
7,1703,29,roc_auc,binary,0.5733492926845006,3,0.0022178512543586945,Preprocessor1_Model10
7,1703,29,sens,binary,0.9998171712739505,3,1.8282872604942957e-4,Preprocessor1_Model10
11,761,30,accuracy,binary,0.9516038437437698,3,0.0015996122429482297,Preprocessor1_Model11
11,761,30,kap,binary,-4.132834796285086e-4,3,3.151206416227995e-4,Preprocessor1_Model11
11,761,30,roc_auc,binary,0.5649686053719334,3,0.0023675421223605026,Preprocessor1_Model11
11,761,30,sens,binary,0.9997808049927664,3,1.6763069115163724e-4,Preprocessor1_Model11
4,856,9,accuracy,binary,0.9513260948981634,3,0.0016443369441718906,Preprocessor1_Model12
4,856,9,kap,binary,0.004417420815061727,3,0.003962967818564136,Preprocessor1_Model12
4,856,9,roc_auc,binary,0.5682877472511558,3,0.001775061237535281,Preprocessor1_Model12
4,856,9,sens,binary,0.9993432629698843,3,1.674523457138507e-4,Preprocessor1_Model12
4,1382,37,accuracy,binary,0.9516732773394033,3,0.0016026374146025936,Preprocessor1_Model13
4,1382,37,kap,binary,-2.757047222320767e-4,3,2.757047222320767e-4,Preprocessor1_Model13
4,1382,37,roc_auc,binary,0.5702327613007678,3,0.0024893265453879887,Preprocessor1_Model13
4,1382,37,sens,binary,0.9998537370191605,3,1.4626298083956585e-4,Preprocessor1_Model13
7,1178,5,accuracy,binary,0.9501804315307912,3,0.0014452508185075806,Preprocessor1_Model14
7,1178,5,kap,binary,0.008365898044881007,3,0.0045277579212072774,Preprocessor1_Model14
7,1178,5,roc_auc,binary,0.5741357967614654,3,2.732074697962596e-4,Preprocessor1_Model14
7,1178,5,sens,binary,0.9979580369555864,3,3.849243383032497e-4,Preprocessor1_Model14
4,1049,17,accuracy,binary,0.9515344065323682,3,0.001606413991894013,Preprocessor1_Model15
4,1049,17,kap,binary,0.0035598053012972177,3,0.0042870129891148115,Preprocessor1_Model15
4,1049,17,roc_auc,binary,0.5694330674775431,3,0.0024163114056947777,Preprocessor1_Model15
4,1049,17,sens,binary,0.9995987187760298,3,9.67320680341224e-5,Preprocessor1_Model15
