mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
11,1191,9,accuracy,binary,0.9521001403731189,5,9.609167046841859e-4,Preprocessor1_Model01
11,1191,9,kap,binary,0.006253813976041389,5,0.0032773206436798835,Preprocessor1_Model01
11,1191,9,roc_auc,binary,0.5725103143935651,5,0.00565199400300536,Preprocessor1_Model01
11,1191,9,sens,binary,0.9985899089613689,5,2.718252782272818e-4,Preprocessor1_Model01
5,556,28,accuracy,binary,0.9528977717849062,5,8.775388319964169e-4,Preprocessor1_Model02
5,556,28,kap,binary,8.886785064788905e-4,5,0.0013182433741795098,Preprocessor1_Model02
5,556,28,roc_auc,binary,0.5621765281357214,5,0.0056180346931186086,Preprocessor1_Model02
5,556,28,sens,binary,0.9996253476445733,5,1.8329688231356772e-4,Preprocessor1_Model02
2,1307,21,accuracy,binary,0.9529817326383317,5,9.075366459596569e-4,Preprocessor1_Model03
2,1307,21,kap,binary,0.0010567650189752032,5,0.0013261871199630442,Preprocessor1_Model03
2,1307,21,roc_auc,binary,0.571693292824056,5,0.0065808772722427845,Preprocessor1_Model03
2,1307,21,sens,binary,0.9997133036498956,5,1.695410696283169e-4,Preprocessor1_Model03
2,127,26,accuracy,binary,0.9530237097608,5,8.764695835365807e-4,Preprocessor1_Model04
2,127,26,kap,binary,0.0011442466788440075,5,0.00141312318547019,Preprocessor1_Model04
2,127,26,roc_auc,binary,0.542416709443873,5,0.0035733550160804003,Preprocessor1_Model04
2,127,26,sens,binary,0.9997574488877281,5,1.3241259517762641e-4,Preprocessor1_Model04
3,1046,22,accuracy,binary,0.95291876254897,5,9.145357031663379e-4,Preprocessor1_Model05
3,1046,22,kap,binary,9.296537110171199e-4,5,0.001302085363815496,Preprocessor1_Model05
3,1046,22,roc_auc,binary,0.5678436902074532,5,0.004598212586490048,Preprocessor1_Model05
3,1046,22,sens,binary,0.9996472169464724,5,1.7593596323627048e-4,Preprocessor1_Model05
10,930,28,accuracy,binary,0.9528977717849062,5,8.578618525281237e-4,Preprocessor1_Model06
10,930,28,kap,binary,0.0016805364260817246,5,0.0013299968314013442,Preprocessor1_Model06
10,930,28,roc_auc,binary,0.5695285058153191,5,0.0034794341825894644,Preprocessor1_Model06
10,930,28,sens,binary,0.9996033865157713,5,1.8651824497879486e-4,Preprocessor1_Model06
