mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
10,1004,23,accuracy,binary,0.8079787275228792,3,4.2675522727161945e-4,Preprocessor1_Model01
10,1004,23,f_meas,binary,0.8871262302134466,3,2.366940255074111e-4,Preprocessor1_Model01
14,1371,10,accuracy,binary,0.8073946341370872,3,6.537758571415709e-4,Preprocessor1_Model02
14,1371,10,f_meas,binary,0.8867908373096862,3,3.78707521938787e-4,Preprocessor1_Model02
12,1784,7,accuracy,binary,0.8078035066718594,3,2.1221872086640237e-4,Preprocessor1_Model03
12,1784,7,f_meas,binary,0.8870078878367433,3,1.125836252848581e-4,Preprocessor1_Model03
3,1353,35,accuracy,binary,0.8084752296743698,3,4.858236700890666e-4,Preprocessor1_Model04
3,1353,35,f_meas,binary,0.8882400435648543,3,4.363212197578007e-4,Preprocessor1_Model04
12,1721,10,accuracy,binary,0.8078911414062334,3,4.1732566187050824e-4,Preprocessor1_Model05
12,1721,10,f_meas,binary,0.8870536062268264,3,2.3719499125903919e-4,Preprocessor1_Model05
7,1517,26,accuracy,binary,0.8077451039862326,3,5.279629392481352e-5,Preprocessor1_Model06
7,1517,26,f_meas,binary,0.8871548256725178,3,2.3513536410038356e-4,Preprocessor1_Model06
14,610,32,accuracy,binary,0.808183167628507,3,8.258419512580293e-5,Preprocessor1_Model07
14,610,32,f_meas,binary,0.8873792440900582,3,1.8138319264978178e-4,Preprocessor1_Model07
8,958,37,accuracy,binary,0.8078911286120943,3,6.861841748188097e-4,Preprocessor1_Model08
8,958,37,f_meas,binary,0.8876195532246577,3,5.197379326971105e-4,Preprocessor1_Model08
11,1938,26,accuracy,binary,0.8078619195927975,3,1.5185164324505227e-4,Preprocessor1_Model09
11,1938,26,f_meas,binary,0.8872316264376497,3,1.5280170647072303e-4,Preprocessor1_Model09
7,568,8,accuracy,binary,0.8074238380387285,3,3.5329778893682226e-4,Preprocessor1_Model10
7,568,8,f_meas,binary,0.8866698738832023,3,1.9028615545633865e-4,Preprocessor1_Model10
9,1060,26,accuracy,binary,0.8079203427490469,3,2.4946823756721664e-4,Preprocessor1_Model11
9,1060,26,f_meas,binary,0.887222556068415,3,3.4101169269043957e-4,Preprocessor1_Model11
6,1956,10,accuracy,binary,0.807482271430289,3,5.09157190769119e-4,Preprocessor1_Model12
6,1956,10,f_meas,binary,0.886824655003627,3,3.2819418504329224e-4,Preprocessor1_Model12
6,1013,36,accuracy,binary,0.8083000037056944,3,4.800178860940651e-4,Preprocessor1_Model13
6,1013,36,f_meas,binary,0.8879009318904587,3,4.3411358446657596e-4,Preprocessor1_Model13
7,1519,35,accuracy,binary,0.8080663545807698,3,7.085501192127385e-4,Preprocessor1_Model14
7,1519,35,f_meas,binary,0.8875909662759668,3,5.583929798772924e-4,Preprocessor1_Model14
10,436,25,accuracy,binary,0.8084752092037474,3,3.532820711361002e-4,Preprocessor1_Model15
10,436,25,f_meas,binary,0.8874859162135307,3,1.4207794314719256e-4,Preprocessor1_Model15
13,452,9,accuracy,binary,0.8071025874441913,3,5.280735173211747e-4,Preprocessor1_Model16
13,452,9,f_meas,binary,0.8864239048071226,3,3.5652556578928517e-4,Preprocessor1_Model16
5,762,29,accuracy,binary,0.8081539714033491,3,7.36539651235698e-4,Preprocessor1_Model17
5,762,29,f_meas,binary,0.887472250038737,3,4.7933274308275577e-4,Preprocessor1_Model17
14,1563,3,accuracy,binary,0.8077451142215437,3,3.405330284258311e-4,Preprocessor1_Model18
14,1563,3,f_meas,binary,0.886910598289266,3,3.332673195073691e-4,Preprocessor1_Model18
6,820,5,accuracy,binary,0.8077451244568549,3,4.5117532754729273e-4,Preprocessor1_Model19
6,820,5,f_meas,binary,0.8868603092603946,3,3.5665191335796607e-4,Preprocessor1_Model19
10,650,13,accuracy,binary,0.8077450963097491,3,2.8910252419610537e-4,Preprocessor1_Model20
10,650,13,f_meas,binary,0.8869230273189471,3,1.3386451523686248e-4,Preprocessor1_Model20
15,1653,17,accuracy,binary,0.807978755669985,3,4.5543827349380026e-4,Preprocessor1_Model21
15,1653,17,f_meas,binary,0.8871342248455395,3,2.3751852599446783e-4,Preprocessor1_Model21
14,15,4,accuracy,binary,0.8052334737684558,3,3.590315284012695e-4,Preprocessor1_Model22
14,15,4,f_meas,binary,0.8850509952845813,3,1.8920867731296156e-4,Preprocessor1_Model22
5,622,7,accuracy,binary,0.8077158924081079,3,6.402698912359266e-5,Preprocessor1_Model23
5,622,7,f_meas,binary,0.8867443678475967,3,4.262055517015354e-5,Preprocessor1_Model23
1,1690,11,accuracy,binary,0.8081539867563159,3,4.0110395899846363e-4,Preprocessor1_Model24
1,1690,11,f_meas,binary,0.8874529134460789,3,3.380163548424531e-4,Preprocessor1_Model24
11,45,12,accuracy,binary,0.8080371711497508,3,5.795885985050431e-4,Preprocessor1_Model25
11,45,12,f_meas,binary,0.8868261654914503,3,3.9672696899272836e-4,Preprocessor1_Model25
4,915,20,accuracy,binary,0.8079787351993626,3,6.401931264021776e-5,Preprocessor1_Model26
4,915,20,f_meas,binary,0.8872342501358581,3,1.6107104825858164e-4,Preprocessor1_Model26
11,253,37,accuracy,binary,0.807540648527638,3,3.268825745172954e-4,Preprocessor1_Model27
11,253,37,f_meas,binary,0.8874234301919744,3,1.2010101047126698e-4,Preprocessor1_Model27
13,1854,26,accuracy,binary,0.8079787326405348,3,1.6618691473910973e-4,Preprocessor1_Model28
13,1854,26,f_meas,binary,0.8872383937710415,3,1.340253764257878e-4,Preprocessor1_Model28
15,1629,17,accuracy,binary,0.8075406562041213,3,2.0966742747271892e-4,Preprocessor1_Model29
15,1629,17,f_meas,binary,0.8869330019374178,3,3.529056577712615e-5,Preprocessor1_Model29
4,990,24,accuracy,binary,0.8079203146019411,3,2.55114218894388e-4,Preprocessor1_Model30
4,990,24,f_meas,binary,0.8873009935334359,3,8.634216696872213e-6,Preprocessor1_Model30
3,1581,5,accuracy,binary,0.8075698780175572,3,5.398310186287388e-4,Preprocessor1_Model31
3,1581,5,f_meas,binary,0.8868665448080698,3,3.170357023058043e-4,Preprocessor1_Model31
11,1809,22,accuracy,binary,0.8074238482740397,3,2.0240872165322132e-4,Preprocessor1_Model32
11,1809,22,f_meas,binary,0.8869108257762922,3,1.1309073899133564e-4,Preprocessor1_Model32
11,45,3,accuracy,binary,0.8072485864817752,3,5.888767909716374e-4,Preprocessor1_Model33
11,45,3,f_meas,binary,0.886218978371203,3,2.8102884307059365e-4,Preprocessor1_Model33
9,860,7,accuracy,binary,0.8077450963097491,3,3.874325275969948e-4,Preprocessor1_Model34
9,860,7,f_meas,binary,0.8869501955036785,3,1.997731916313047e-4,Preprocessor1_Model34
14,713,26,accuracy,binary,0.8075114625377913,3,5.6217446688933145e-6,Preprocessor1_Model35
14,713,26,f_meas,binary,0.886866688924844,3,1.804105324897668e-4,Preprocessor1_Model35
15,535,3,accuracy,binary,0.8074530598521643,3,1.2216307407135612e-4,Preprocessor1_Model36
15,535,3,f_meas,binary,0.8866534566610706,3,1.9814902458364727e-4,Preprocessor1_Model36
6,1023,27,accuracy,binary,0.8079495415330326,3,1.7838444364877222e-4,Preprocessor1_Model37
6,1023,27,f_meas,binary,0.887230232196191,3,2.8839560771066824e-4,Preprocessor1_Model37
12,977,37,accuracy,binary,0.8083584038324936,3,5.2814205719416606e-5,Preprocessor1_Model38
12,977,37,f_meas,binary,0.8877244073046703,3,2.558972639487733e-4,Preprocessor1_Model38
5,917,20,accuracy,binary,0.8077743155643572,3,2.6402359497600797e-4,Preprocessor1_Model39
5,917,20,f_meas,binary,0.887011573740994,3,2.566558559859188e-4,Preprocessor1_Model39
11,747,18,accuracy,binary,0.8076282576737339,3,5.792739077334456e-4,Preprocessor1_Model40
11,747,18,f_meas,binary,0.8868347870528939,3,3.576779827289846e-4,Preprocessor1_Model40
3,583,29,accuracy,binary,0.8088548829545339,3,3.0441383156026093e-4,Preprocessor1_Model41
3,583,29,f_meas,binary,0.8881433000243142,3,3.3224376873047134e-4,Preprocessor1_Model41
6,1572,36,accuracy,binary,0.8077451091038881,3,5.738526644406986e-4,Preprocessor1_Model42
6,1572,36,f_meas,binary,0.8875669738684316,3,4.4671174510102637e-4,Preprocessor1_Model42
11,128,30,accuracy,binary,0.8071610106004405,3,2.1830980790499087e-4,Preprocessor1_Model43
11,128,30,f_meas,binary,0.8867696712040807,3,2.23573541876481e-4,Preprocessor1_Model43
2,740,11,accuracy,binary,0.8075114727731024,3,2.640186633540242e-4,Preprocessor1_Model44
2,740,11,f_meas,binary,0.8867847806592133,3,3.045576377297156e-4,Preprocessor1_Model44
5,1666,40,accuracy,binary,0.8079787428758459,3,5.855927646963118e-4,Preprocessor1_Model45
5,1666,40,f_meas,binary,0.8879064397154529,3,4.6613232956311607e-4,Preprocessor1_Model45
9,1320,15,accuracy,binary,0.8078327105735007,3,1.4890728790113977e-4,Preprocessor1_Model46
9,1320,15,f_meas,binary,0.8870617629684399,3,8.393338286861146e-5,Preprocessor1_Model46
2,9,16,accuracy,binary,0.8058759903104971,3,0.0010928653100142854,Preprocessor1_Model47
2,9,16,f_meas,binary,0.8855258295919918,3,5.342655191412439e-4,Preprocessor1_Model47
8,1470,32,accuracy,binary,0.8081831880991294,3,5.52102364480919e-4,Preprocessor1_Model48
8,1470,32,f_meas,binary,0.8875981118837768,3,4.872212054524654e-4,Preprocessor1_Model48
8,889,38,accuracy,binary,0.8078327156911562,3,6.323469321526449e-4,Preprocessor1_Model49
