min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
22,7,5.378775271793585e-9,0.007765017888925664,accuracy,binary,0.9547019908662565,5,5.663152869323984e-4,Preprocessor1_Model01
22,7,5.378775271793585e-9,0.007765017888925664,kap,binary,0,5,0,Preprocessor1_Model01
22,7,5.378775271793585e-9,0.007765017888925664,roc_auc,binary,0.5,5,0,Preprocessor1_Model01
22,7,5.378775271793585e-9,0.007765017888925664,sens,binary,1,5,0,Preprocessor1_Model01
20,3,7.787642196821944e-8,0.0028476756073222667,accuracy,binary,0.9547019908662565,5,5.663152869323984e-4,Preprocessor1_Model02
20,3,7.787642196821944e-8,0.0028476756073222667,kap,binary,0,5,0,Preprocessor1_Model02
20,3,7.787642196821944e-8,0.0028476756073222667,roc_auc,binary,0.5953708441991223,5,0.002280990405112634,Preprocessor1_Model02
20,3,7.787642196821944e-8,0.0028476756073222667,sens,binary,1,5,0,Preprocessor1_Model02
33,9,2.6590335957208304e-10,3.1826675938783674e-5,accuracy,binary,0.9547019908662565,5,5.663152869323984e-4,Preprocessor1_Model03
33,9,2.6590335957208304e-10,3.1826675938783674e-5,kap,binary,0,5,0,Preprocessor1_Model03
33,9,2.6590335957208304e-10,3.1826675938783674e-5,roc_auc,binary,0.5,5,0,Preprocessor1_Model03
33,9,2.6590335957208304e-10,3.1826675938783674e-5,sens,binary,1,5,0,Preprocessor1_Model03
29,7,0.00479430707523601,4.411330849791431e-5,accuracy,binary,0.9547019908662565,5,5.663152869323984e-4,Preprocessor1_Model04
29,7,0.00479430707523601,4.411330849791431e-5,kap,binary,0,5,0,Preprocessor1_Model04
29,7,0.00479430707523601,4.411330849791431e-5,roc_auc,binary,0.652843399556384,5,0.0069434849539801065,Preprocessor1_Model04
29,7,0.00479430707523601,4.411330849791431e-5,sens,binary,1,5,0,Preprocessor1_Model04
16,11,3.3054169125708825e-7,3.0992446209765533e-4,accuracy,binary,0.9547019908662565,5,5.663152869323984e-4,Preprocessor1_Model05
16,11,3.3054169125708825e-7,3.0992446209765533e-4,kap,binary,0,5,0,Preprocessor1_Model05
16,11,3.3054169125708825e-7,3.0992446209765533e-4,roc_auc,binary,0.6127939020617634,5,0.005026455319965729,Preprocessor1_Model05
16,11,3.3054169125708825e-7,3.0992446209765533e-4,sens,binary,1,5,0,Preprocessor1_Model05
10,8,4.315893306959501e-10,0.24586177152896038,accuracy,binary,0.9547019908662565,5,5.663152869323984e-4,Preprocessor1_Model06
10,8,4.315893306959501e-10,0.24586177152896038,kap,binary,0,5,0,Preprocessor1_Model06
10,8,4.315893306959501e-10,0.24586177152896038,roc_auc,binary,0.5,5,0,Preprocessor1_Model06
10,8,4.315893306959501e-10,0.24586177152896038,sens,binary,1,5,0,Preprocessor1_Model06
37,7,0.004290922618520137,14.134295103095367,accuracy,binary,0.9547019908662565,5,5.663152869323984e-4,Preprocessor1_Model07
37,7,0.004290922618520137,14.134295103095367,kap,binary,0,5,0,Preprocessor1_Model07
37,7,0.004290922618520137,14.134295103095367,roc_auc,binary,0.6189454166200904,5,0.0060859837708552075,Preprocessor1_Model07
37,7,0.004290922618520137,14.134295103095367,sens,binary,1,5,0,Preprocessor1_Model07
34,9,0.0013588980512750668,6.449033629045201e-7,accuracy,binary,0.9547019908662565,5,5.663152869323984e-4,Preprocessor1_Model08
34,9,0.0013588980512750668,6.449033629045201e-7,kap,binary,0,5,0,Preprocessor1_Model08
34,9,0.0013588980512750668,6.449033629045201e-7,roc_auc,binary,0.6426649450230129,5,0.00697829955548361,Preprocessor1_Model08
34,9,0.0013588980512750668,6.449033629045201e-7,sens,binary,1,5,0,Preprocessor1_Model08
2,11,1.9201260481543096e-6,3.456393186177947e-9,accuracy,binary,0.9545682376964812,5,5.676700584077614e-4,Preprocessor1_Model09
2,11,1.9201260481543096e-6,3.456393186177947e-9,kap,binary,0.0027639923455188508,5,0.0016224676848972043,Preprocessor1_Model09
2,11,1.9201260481543096e-6,3.456393186177947e-9,roc_auc,binary,0.6096876939788521,5,0.003567669792515666,Preprocessor1_Model09
2,11,1.9201260481543096e-6,3.456393186177947e-9,sens,binary,0.9997780835053418,5,4.3022738814764835e-5,Preprocessor1_Model09
6,1,7.771154786460817e-7,3.566351324864769e-8,accuracy,binary,0.9547019908662565,5,5.663152869323984e-4,Preprocessor1_Model10
6,1,7.771154786460817e-7,3.566351324864769e-8,kap,binary,0,5,0,Preprocessor1_Model10
6,1,7.771154786460817e-7,3.566351324864769e-8,roc_auc,binary,0.5865061669166679,5,0.002899157787448183,Preprocessor1_Model10
6,1,7.771154786460817e-7,3.566351324864769e-8,sens,binary,1,5,0,Preprocessor1_Model10
19,8,7.245105336438364e-7,3.359832785113181e-8,accuracy,binary,0.9547019908662565,5,5.663152869323984e-4,Preprocessor1_Model11
19,8,7.245105336438364e-7,3.359832785113181e-8,kap,binary,0,5,0,Preprocessor1_Model11
19,8,7.245105336438364e-7,3.359832785113181e-8,roc_auc,binary,0.6103124495560482,5,0.004627563207522006,Preprocessor1_Model11
19,8,7.245105336438364e-7,3.359832785113181e-8,sens,binary,1,5,0,Preprocessor1_Model11
17,13,0.014985385267208828,19.064808430021017,accuracy,binary,0.9547019908662565,5,5.663152869323984e-4,Preprocessor1_Model12
17,13,0.014985385267208828,19.064808430021017,kap,binary,0,5,0,Preprocessor1_Model12
17,13,0.014985385267208828,19.064808430021017,roc_auc,binary,0.6369250498631529,5,0.006577343780240701,Preprocessor1_Model12
17,13,0.014985385267208828,19.064808430021017,sens,binary,1,5,0,Preprocessor1_Model12
15,2,1.886696437767798e-4,16.216556006282772,accuracy,binary,0.9547019908662565,5,5.663152869323984e-4,Preprocessor1_Model13
15,2,1.886696437767798e-4,16.216556006282772,kap,binary,0,5,0,Preprocessor1_Model13
15,2,1.886696437767798e-4,16.216556006282772,roc_auc,binary,0.5865061669166679,5,0.002899157787448183,Preprocessor1_Model13
15,2,1.886696437767798e-4,16.216556006282772,sens,binary,1,5,0,Preprocessor1_Model13
4,5,4.13508161112938e-10,0.0012573637838154716,accuracy,binary,0.9547019908662565,5,5.663152869323984e-4,Preprocessor1_Model14
4,5,4.13508161112938e-10,0.0012573637838154716,kap,binary,0,5,0,Preprocessor1_Model14
4,5,4.13508161112938e-10,0.0012573637838154716,roc_auc,binary,0.5,5,0,Preprocessor1_Model14
4,5,4.13508161112938e-10,0.0012573637838154716,sens,binary,1,5,0,Preprocessor1_Model14
28,9,1.1260850461309963e-8,3.610569950235374e-4,accuracy,binary,0.9547019908662565,5,5.663152869323984e-4,Preprocessor1_Model15
28,9,1.1260850461309963e-8,3.610569950235374e-4,kap,binary,0,5,0,Preprocessor1_Model15
28,9,1.1260850461309963e-8,3.610569950235374e-4,roc_auc,binary,0.6119063040179394,5,0.0053413435667440745,Preprocessor1_Model15
28,9,1.1260850461309963e-8,3.610569950235374e-4,sens,binary,1,5,0,Preprocessor1_Model15
16,8,7.472164214224284e-5,1.1483983436981036e-9,accuracy,binary,0.9547019908662565,5,5.663152869323984e-4,Preprocessor1_Model16
16,8,7.472164214224284e-5,1.1483983436981036e-9,kap,binary,0,5,0,Preprocessor1_Model16
16,8,7.472164214224284e-5,1.1483983436981036e-9,roc_auc,binary,0.6150430073864701,5,0.0032084999919435577,Preprocessor1_Model16
16,8,7.472164214224284e-5,1.1483983436981036e-9,sens,binary,1,5,0,Preprocessor1_Model16
15,9,0.04548244990551612,2.5995780790414668e-9,accuracy,binary,0.9545905311337987,5,5.492977362151997e-4,Preprocessor1_Model17
15,9,0.04548244990551612,2.5995780790414668e-9,kap,binary,0.0010846268722697339,5,8.696191879155318e-4,Preprocessor1_Model17
15,9,0.04548244990551612,2.5995780790414668e-9,roc_auc,binary,0.7146355641819793,5,0.008147425222393147,Preprocessor1_Model17
15,9,0.04548244990551612,2.5995780790414668e-9,sens,binary,0.9998482395410341,5,6.00901522238344e-5,Preprocessor1_Model17
21,13,3.704960724684791e-5,8.920957306424091e-4,accuracy,binary,0.9547019908662565,5,5.663152869323984e-4,Preprocessor1_Model18
21,13,3.704960724684791e-5,8.920957306424091e-4,kap,binary,0,5,0,Preprocessor1_Model18
21,13,3.704960724684791e-5,8.920957306424091e-4,roc_auc,binary,0.6162440179830616,5,0.003582599361299265,Preprocessor1_Model18
21,13,3.704960724684791e-5,8.920957306424091e-4,sens,binary,1,5,0,Preprocessor1_Model18
25,10,5.7569187972559134e-006,3.5348498700581717e-10,accuracy,binary,0.9547019908662565,5,5.663152869323984e-4,Preprocessor1_Model19
25,10,5.7569187972559134e-006,3.5348498700581717e-10,kap,binary,0,5,0,Preprocessor1_Model19
25,10,5.7569187972559134e-006,3.5348498700581717e-10,roc_auc,binary,0.6125307609512154,5,0.005399454688479688,Preprocessor1_Model19
25,10,5.7569187972559134e-006,3.5348498700581717e-10,sens,binary,1,5,0,Preprocessor1_Model19
34,11,5.569328725522821e-9,7.66906419340242e-4,accuracy,binary,0.9547019908662565,5,5.663152869323984e-4,Preprocessor1_Model20
34,11,5.569328725522821e-9,7.66906419340242e-4,kap,binary,0,5,0,Preprocessor1_Model20
34,11,5.569328725522821e-9,7.66906419340242e-4,roc_auc,binary,0.5,5,0,Preprocessor1_Model20
34,11,5.569328725522821e-9,7.66906419340242e-4,sens,binary,1,5,0,Preprocessor1_Model20
